subject,block,trial,task,sfgpi_regret,optimal_dist
0,0,0,0,80.0,5.0
0,0,1,1,20.0,6.0
0,0,2,2,250.0,5.0
0,0,3,3,41.0,5.0
0,0,4,0,155.0,5.0
0,0,5,1,36.0,6.0
0,0,6,2,10.0,6.0
0,0,7,3,40.0,5.0
0,0,8,0,2.0,4.0
0,0,9,1,18.0,5.0
0,0,10,2,36.0,5.0
0,0,11,3,51.0,5.0
0,0,12,0,49.0,6.0
0,0,13,1,22.0,5.0
0,0,14,2,46.0,7.0
0,0,15,3,22.0,5.0
0,0,16,0,0.0,3.0
0,0,17,1,46.0,5.0
0,0,18,2,26.0,5.0
0,0,19,3,51.0,6.0
0,0,20,0,38.0,5.0
0,0,21,1,26.0,7.0
0,0,22,2,44.0,5.0
0,0,23,3,25.0,7.0
0,0,24,0,141.0,6.0
0,0,25,1,6.0,8.0
0,0,26,2,158.0,5.0
0,0,27,3,20.0,6.0
0,0,28,0,81.0,6.0
0,0,29,1,30.0,7.0
0,0,30,2,18.0,5.0
0,0,31,3,21.0,8.0
0,0,32,0,44.0,5.0
0,0,33,1,56.0,6.0
0,0,34,2,32.0,7.0
0,0,35,3,17.0,5.0
0,0,36,0,61.0,4.0
0,0,37,1,48.0,8.0
0,0,38,2,20.0,6.0
0,0,39,3,27.0,6.0
0,0,40,0,2.0,5.0
0,0,41,1,50.0,9.0
0,0,42,2,10.0,6.0
0,0,43,3,1.0,5.0
0,0,44,0,4.0,6.0
0,0,45,1,30.0,7.0
0,0,46,2,32.0,6.0
0,0,47,3,28.0,8.0
0,0,48,0,8.0,4.0
0,0,49,1,18.0,7.0
0,0,50,2,50.0,7.0
0,0,51,3,19.0,6.0
0,0,52,0,1.0,5.0
0,0,53,1,46.0,9.0
0,0,54,2,4.0,7.0
0,0,55,3,20.0,6.0
0,0,56,0,12.0,6.0
0,0,57,1,44.0,7.0
0,0,58,2,48.0,7.0
0,0,59,3,34.0,5.0
0,0,60,0,38.0,6.0
0,0,61,1,94.0,7.0
0,0,62,2,20.0,6.0
0,0,63,3,39.0,8.0
0,0,64,0,42.0,5.0
0,0,65,1,98.0,8.0
0,0,66,2,164.0,5.0
0,0,67,3,40.0,5.0
0,0,68,0,22.0,6.0
0,0,69,1,18.0,8.0
0,0,70,2,24.0,6.0
0,0,71,3,48.0,5.0
0,0,72,0,34.0,6.0
0,0,73,1,6.0,7.0
0,0,74,2,68.0,7.0
0,0,75,3,19.0,6.0
0,0,76,0,9.0,5.0
0,0,77,1,28.0,5.0
0,0,78,2,8.0,7.0
0,0,79,3,8.0,5.0
0,0,80,0,12.0,4.0
0,0,81,1,40.0,5.0
0,0,82,2,48.0,6.0
0,0,83,3,65.0,7.0
0,0,84,0,1.0,5.0
0,0,85,1,16.0,6.0
0,0,86,2,136.0,7.0
0,0,87,3,26.0,6.0
0,0,88,0,27.0,4.0
0,0,89,1,58.0,5.0
0,0,90,2,56.0,6.0
0,0,91,3,27.0,6.0
0,0,92,0,65.0,5.0
0,0,93,1,44.0,7.0
0,0,94,2,20.0,5.0
0,0,95,3,18.0,5.0
0,0,96,0,46.0,5.0
0,0,97,1,0.0,8.0
0,0,98,2,4.0,7.0
0,0,99,3,7.0,7.0
1,0,0,0,6.0,5.0
1,0,1,1,24.0,6.0
1,0,2,2,12.0,5.0
1,0,3,3,20.0,5.0
1,0,4,0,45.0,5.0
1,0,5,1,84.0,6.0
1,0,6,2,24.0,6.0
1,0,7,3,5.0,5.0
1,0,8,0,34.0,4.0
1,0,9,1,28.0,5.0
1,0,10,2,102.0,5.0
1,0,11,3,81.0,5.0
1,0,12,0,66.0,6.0
1,0,13,1,24.0,5.0
1,0,14,2,34.0,7.0
1,0,15,3,73.0,5.0
1,0,16,0,2.0,3.0
1,0,17,1,118.0,5.0
1,0,18,2,54.0,5.0
1,0,19,3,21.0,6.0
1,0,20,0,4.0,5.0
1,0,21,1,78.0,7.0
1,0,22,2,68.0,5.0
1,0,23,3,28.0,7.0
1,0,24,0,65.0,6.0
1,0,25,1,74.0,8.0
1,0,26,2,72.0,5.0
1,0,27,3,81.0,6.0
1,0,28,0,75.0,6.0
1,0,29,1,32.0,7.0
1,0,30,2,66.0,5.0
1,0,31,3,37.0,8.0
1,0,32,0,3.0,5.0
1,0,33,1,38.0,6.0
1,0,34,2,60.0,7.0
1,0,35,3,8.0,5.0
1,0,36,0,37.0,4.0
1,0,37,1,88.0,8.0
1,0,38,2,48.0,6.0
1,0,39,3,18.0,6.0
1,0,40,0,3.0,5.0
1,0,41,1,108.0,9.0
1,0,42,2,12.0,6.0
1,0,43,3,25.0,5.0
1,0,44,0,9.0,6.0
1,0,45,1,22.0,7.0
1,0,46,2,8.0,6.0
1,0,47,3,61.0,8.0
1,0,48,0,63.0,4.0
1,0,49,1,86.0,7.0
1,0,50,2,16.0,7.0
1,0,51,3,60.0,6.0
1,0,52,0,15.0,5.0
1,0,53,1,48.0,9.0
1,0,54,2,82.0,7.0
1,0,55,3,98.0,6.0
1,0,56,0,12.0,6.0
1,0,57,1,38.0,7.0
1,0,58,2,54.0,7.0
1,0,59,3,30.0,5.0
1,0,60,0,54.0,6.0
1,0,61,1,62.0,7.0
1,0,62,2,12.0,6.0
1,0,63,3,21.0,8.0
1,0,64,0,15.0,5.0
1,0,65,1,22.0,8.0
1,0,66,2,10.0,5.0
1,0,67,3,8.0,5.0
1,0,68,0,20.0,6.0
1,0,69,1,24.0,8.0
1,0,70,2,188.0,6.0
1,0,71,3,11.0,5.0
1,0,72,0,59.0,6.0
1,0,73,1,64.0,7.0
1,0,74,2,24.0,7.0
1,0,75,3,3.0,6.0
1,0,76,0,143.0,5.0
1,0,77,1,10.0,5.0
1,0,78,2,80.0,7.0
1,0,79,3,12.0,5.0
1,0,80,0,12.0,4.0
1,0,81,1,66.0,5.0
1,0,82,2,58.0,6.0
1,0,83,3,95.0,7.0
1,0,84,0,38.0,5.0
1,0,85,1,22.0,6.0
1,0,86,2,76.0,7.0
1,0,87,3,37.0,6.0
1,0,88,0,2.0,4.0
1,0,89,1,38.0,5.0
1,0,90,2,18.0,6.0
1,0,91,3,32.0,6.0
1,0,92,0,34.0,5.0
1,0,93,1,14.0,7.0
1,0,94,2,28.0,5.0
1,0,95,3,95.0,5.0
1,0,96,0,46.0,5.0
1,0,97,1,10.0,8.0
1,0,98,2,64.0,7.0
1,0,99,3,28.0,7.0
2,0,0,0,22.0,5.0
2,0,1,1,10.0,6.0
2,0,2,2,20.0,5.0
2,0,3,3,91.0,5.0
2,0,4,0,49.0,5.0
2,0,5,1,18.0,6.0
2,0,6,2,8.0,6.0
2,0,7,3,18.0,5.0
2,0,8,0,20.0,4.0
2,0,9,1,68.0,5.0
2,0,10,2,18.0,5.0
2,0,11,3,65.0,5.0
2,0,12,0,33.0,6.0
2,0,13,1,50.0,5.0
2,0,14,2,28.0,7.0
2,0,15,3,29.0,5.0
2,0,16,0,50.0,3.0
2,0,17,1,74.0,5.0
2,0,18,2,44.0,5.0
2,0,19,3,85.0,6.0
2,0,20,0,19.0,5.0
2,0,21,1,40.0,7.0
2,0,22,2,72.0,5.0
2,0,23,3,34.0,7.0
2,0,24,0,22.0,6.0
2,0,25,1,74.0,8.0
2,0,26,2,48.0,5.0
2,0,27,3,46.0,6.0
2,0,28,0,29.0,6.0
2,0,29,1,46.0,7.0
2,0,30,2,6.0,5.0
2,0,31,3,29.0,8.0
2,0,32,0,8.0,5.0
2,0,33,1,16.0,6.0
2,0,34,2,24.0,7.0
2,0,35,3,32.0,5.0
2,0,36,0,26.0,4.0
2,0,37,1,70.0,8.0
2,0,38,2,32.0,6.0
2,0,39,3,51.0,6.0
2,0,40,0,56.0,5.0
2,0,41,1,16.0,9.0
2,0,42,2,46.0,6.0
2,0,43,3,20.0,5.0
2,0,44,0,40.0,6.0
2,0,45,1,46.0,7.0
2,0,46,2,34.0,6.0
2,0,47,3,6.0,8.0
2,0,48,0,43.0,4.0
2,0,49,1,98.0,7.0
2,0,50,2,22.0,7.0
2,0,51,3,51.0,6.0
2,0,52,0,31.0,5.0
2,0,53,1,58.0,9.0
2,0,54,2,18.0,7.0
2,0,55,3,20.0,6.0
2,0,56,0,6.0,6.0
2,0,57,1,26.0,7.0
2,0,58,2,78.0,7.0
2,0,59,3,48.0,5.0
2,0,60,0,87.0,6.0
2,0,61,1,20.0,7.0
2,0,62,2,30.0,6.0
2,0,63,3,4.0,8.0
2,0,64,0,42.0,5.0
2,0,65,1,0.0,8.0
2,0,66,2,92.0,5.0
2,0,67,3,163.0,5.0
2,0,68,0,42.0,6.0
2,0,69,1,128.0,8.0
2,0,70,2,56.0,6.0
2,0,71,3,48.0,5.0
2,0,72,0,77.0,6.0
2,0,73,1,50.0,7.0
2,0,74,2,22.0,7.0
2,0,75,3,48.0,6.0
2,0,76,0,8.0,5.0
2,0,77,1,22.0,5.0
2,0,78,2,24.0,7.0
2,0,79,3,59.0,5.0
2,0,80,0,14.0,4.0
2,0,81,1,46.0,5.0
2,0,82,2,32.0,6.0
2,0,83,3,29.0,7.0
2,0,84,0,30.0,5.0
2,0,85,1,76.0,6.0
2,0,86,2,26.0,7.0
2,0,87,3,32.0,6.0
2,0,88,0,27.0,4.0
2,0,89,1,50.0,5.0
2,0,90,2,16.0,6.0
2,0,91,3,73.0,6.0
2,0,92,0,28.0,5.0
2,0,93,1,10.0,7.0
2,0,94,2,82.0,5.0
2,0,95,3,18.0,5.0
2,0,96,0,37.0,5.0
2,0,97,1,20.0,8.0
2,0,98,2,50.0,7.0
2,0,99,3,13.0,7.0
3,0,0,0,20.0,5.0
3,0,1,1,12.0,6.0
3,0,2,2,24.0,5.0
3,0,3,3,29.0,5.0
3,0,4,0,8.0,5.0
3,0,5,1,174.0,6.0
3,0,6,2,34.0,6.0
3,0,7,3,6.0,5.0
3,0,8,0,12.0,4.0
