block,trial,reward,regret,sum_RT
0.0,0.0,-9.0,2.0,14.594328880310059
0.0,1.0,-8.0,2.0,24.0969877243042
0.0,2.0,-19.0,12.0,25.017417192459106
0.0,3.0,-7.0,0.0,9.220830917358398
0.0,4.0,-10.0,4.0,25.39307427406311
0.0,5.0,-10.0,3.0,20.283066749572754
0.0,6.0,-7.0,0.0,12.695705652236938
0.0,7.0,-6.0,0.0,29.144210815429688
0.0,8.0,-7.0,0.0,21.08827018737793
0.0,9.0,-9.0,2.0,21.04145908355713
0.0,10.0,-8.0,2.0,25.14865255355835
0.0,11.0,-7.0,0.0,17.837263584136963
0.0,12.0,-9.0,2.0,18.244527101516724
0.0,13.0,-10.0,4.0,9.918052673339844
0.0,14.0,-7.0,0.0,22.65981960296631
0.0,15.0,-7.0,0.0,8.614931106567383
0.0,16.0,-8.0,2.0,33.113757371902466
0.0,17.0,-11.0,4.0,17.78926134109497
0.0,18.0,-7.0,0.0,13.06528902053833
0.0,19.0,-8.0,2.0,11.525880098342896
0.0,20.0,-7.0,0.0,11.900044918060303
0.0,21.0,-13.0,6.0,46.27911901473999
0.0,22.0,-6.0,0.0,14.136050939559937
0.0,23.0,-9.0,2.0,9.083168745040894
0.0,24.0,-7.0,0.0,5.04169225692749
0.0,25.0,-4.0,-2.0,42.28209662437439
0.0,26.0,-7.0,0.0,11.563432455062866
0.0,27.0,-7.0,0.0,7.186249256134033
0.0,28.0,-8.0,2.0,20.070963859558105
0.0,29.0,-7.0,0.0,13.508544921875
1.0,30.0,-3.0,0.0,11.762778282165527
1.0,31.0,-25.0,20.0,35.71716332435608
1.0,32.0,-15.0,8.0,44.7038209438324
1.0,33.0,-3.0,0.0,8.983136892318726
1.0,34.0,-19.0,14.0,19.956737518310547
1.0,35.0,-9.0,2.0,44.97869610786438
1.0,36.0,-3.0,0.0,8.478542804718018
1.0,37.0,-17.0,12.0,22.327112436294556
1.0,38.0,-33.0,26.0,45.91519355773926
1.0,39.0,-3.0,0.0,5.940455675125122
1.0,40.0,-5.0,0.0,13.336493730545044
1.0,41.0,-17.0,10.0,21.551368951797485
1.0,42.0,-3.0,0.0,14.14759087562561
1.0,43.0,-13.0,8.0,17.382625341415405
1.0,44.0,-15.0,8.0,18.447879552841187
1.0,45.0,-3.0,0.0,5.4279944896698
1.0,46.0,-5.0,0.0,8.216330528259277
1.0,47.0,-7.0,0.0,23.501726627349854
1.0,48.0,-3.0,0.0,3.6206259727478027
1.0,49.0,-5.0,0.0,13.33076024055481
1.0,50.0,-7.0,0.0,7.977090835571289
1.0,51.0,-3.0,0.0,29.69736337661743
1.0,52.0,-7.0,2.0,10.183857440948486
1.0,53.0,-9.0,2.0,13.272829294204712
1.0,54.0,-3.0,0.0,3.342357635498047
1.0,55.0,-7.0,2.0,11.653764963150024
1.0,56.0,-11.0,4.0,29.478506803512573
1.0,57.0,-3.0,0.0,3.2184364795684814
1.0,58.0,-9.0,4.0,13.478100061416626
1.0,59.0,-7.0,0.0,10.815702438354492
1.0,60.0,-4.0,1.0,10.990287780761719
1.0,61.0,-21.0,16.0,23.48940396308899
1.0,62.0,-9.0,2.0,10.191067218780518
1.0,63.0,-3.0,0.0,4.23241925239563
1.0,64.0,-5.0,0.0,7.982397556304932
1.0,65.0,-7.0,0.0,5.768676280975342
1.0,66.0,-16.0,13.0,21.97197675704956
1.0,67.0,-7.0,2.0,7.547731399536133
1.0,68.0,-11.0,4.0,14.724395275115967
1.0,69.0,-3.0,0.0,5.874359130859375
1.0,70.0,-7.0,2.0,31.321195363998413
1.0,71.0,-11.0,4.0,17.33794379234314
1.0,72.0,-3.0,0.0,2.974527359008789
1.0,73.0,-5.0,0.0,5.151716947555542
1.0,74.0,-7.0,0.0,11.157339811325073
1.0,75.0,-3.0,0.0,4.0626380443573
1.0,76.0,-7.0,2.0,18.566538333892822
1.0,77.0,-7.0,0.0,5.870504140853882
1.0,78.0,-3.0,0.0,2.682488441467285
1.0,79.0,-5.0,0.0,9.125436305999756
1.0,80.0,-9.0,2.0,33.22414588928223
1.0,81.0,-3.0,0.0,2.4074652194976807
1.0,82.0,-5.0,0.0,11.97690224647522
1.0,83.0,-7.0,0.0,4.4711692333221436
1.0,84.0,-3.0,0.0,3.835751533508301
1.0,85.0,-7.0,2.0,14.011779546737671
1.0,86.0,-7.0,0.0,15.306246042251587
1.0,87.0,-3.0,0.0,5.054697751998901
1.0,88.0,-5.0,0.0,3.8946616649627686
1.0,89.0,-7.0,0.0,9.23910665512085
1.0,90.0,-5.0,2.0,5.313307762145996
