subject,block,trial,task,sfgpi_regret,optimal_dist
0,0,0,0,60.0,5.0
0,0,1,1,16.0,6.0
0,0,2,2,78.0,5.0
0,0,3,3,78.0,5.0
0,0,4,0,78.0,5.0
0,0,5,1,40.0,6.0
0,0,6,2,46.0,6.0
0,0,7,3,37.0,5.0
0,0,8,0,21.0,4.0
0,0,9,1,98.0,5.0
0,0,10,2,46.0,5.0
0,0,11,3,63.0,5.0
0,0,12,0,153.0,6.0
0,0,13,1,132.0,5.0
0,0,14,2,16.0,7.0
0,0,15,3,45.0,5.0
0,0,16,0,39.0,3.0
0,0,17,1,20.0,5.0
0,0,18,2,28.0,5.0
0,0,19,3,20.0,6.0
0,0,20,0,99.0,5.0
0,0,21,1,52.0,7.0
0,0,22,2,8.0,5.0
0,0,23,3,21.0,7.0
0,0,24,0,23.0,6.0
0,0,25,1,28.0,8.0
0,0,26,2,56.0,5.0
0,0,27,3,6.0,6.0
0,0,28,0,40.0,6.0
0,0,29,1,16.0,7.0
0,0,30,2,56.0,5.0
0,0,31,3,18.0,8.0
0,0,32,0,39.0,5.0
0,0,33,1,20.0,6.0
0,0,34,2,16.0,7.0
0,0,35,3,67.0,5.0
0,0,36,0,28.0,4.0
0,0,37,1,4.0,8.0
0,0,38,2,26.0,6.0
0,0,39,3,39.0,6.0
0,0,40,0,63.0,5.0
0,0,41,1,26.0,9.0
0,0,42,2,26.0,6.0
0,0,43,3,23.0,5.0
0,0,44,0,0.0,6.0
0,0,45,1,30.0,7.0
0,0,46,2,54.0,6.0
0,0,47,3,125.0,8.0
0,0,48,0,49.0,4.0
0,0,49,1,-2.0,7.0
0,0,50,2,44.0,7.0
0,0,51,3,33.0,6.0
0,0,52,0,14.0,5.0
0,0,53,1,22.0,9.0
0,0,54,2,24.0,7.0
0,0,55,3,39.0,6.0
0,0,56,0,45.0,6.0
0,0,57,1,28.0,7.0
0,0,58,2,10.0,7.0
0,0,59,3,20.0,5.0
0,0,60,0,26.0,6.0
0,0,61,1,24.0,7.0
0,0,62,2,98.0,6.0
0,0,63,3,109.0,8.0
0,0,64,0,4.0,5.0
0,0,65,1,34.0,8.0
0,0,66,2,158.0,5.0
0,0,67,3,9.0,5.0
0,0,68,0,31.0,6.0
0,0,69,1,44.0,8.0
0,0,70,2,26.0,6.0
0,0,71,3,43.0,5.0
0,0,72,0,14.0,6.0
0,0,73,1,82.0,7.0
0,0,74,2,80.0,7.0
0,0,75,3,53.0,6.0
0,0,76,0,16.0,5.0
0,0,77,1,16.0,5.0
0,0,78,2,16.0,7.0
0,0,79,3,11.0,5.0
0,0,80,0,51.0,4.0
0,0,81,1,48.0,5.0
0,0,82,2,8.0,6.0
0,0,83,3,203.0,7.0
0,0,84,0,27.0,5.0
0,0,85,1,40.0,6.0
0,0,86,2,92.0,7.0
0,0,87,3,43.0,6.0
0,0,88,0,6.0,4.0
0,0,89,1,48.0,5.0
0,0,90,2,42.0,6.0
0,0,91,3,41.0,6.0
0,0,92,0,21.0,5.0
0,0,93,1,30.0,7.0
0,0,94,2,76.0,5.0
0,0,95,3,25.0,5.0
0,0,96,0,29.0,5.0
0,0,97,1,44.0,8.0
0,0,98,2,92.0,7.0
0,0,99,3,75.0,7.0
0,0,100,0,21.0,5.0
0,0,101,1,40.0,6.0
0,0,102,2,22.0,7.0
0,0,103,3,39.0,6.0
0,0,104,0,9.0,4.0
0,0,105,1,72.0,8.0
0,0,106,2,42.0,7.0
0,0,107,3,53.0,7.0
0,0,108,0,114.0,6.0
0,0,109,1,58.0,9.0
0,0,110,2,98.0,6.0
0,0,111,3,67.0,6.0
0,0,112,0,90.0,3.0
0,0,113,1,20.0,8.0
0,0,114,2,32.0,6.0
0,0,115,3,20.0,6.0
0,0,116,0,97.0,4.0
0,0,117,1,40.0,6.0
0,0,118,2,62.0,6.0
0,0,119,3,41.0,6.0
0,0,120,0,0.0,6.0
0,0,121,1,48.0,7.0
0,0,122,2,22.0,6.0
0,0,123,3,115.0,6.0
0,0,124,0,16.0,4.0
0,0,125,1,58.0,8.0
0,0,126,2,76.0,6.0
0,0,127,3,14.0,5.0
0,0,128,0,34.0,5.0
0,0,129,1,12.0,6.0
0,0,130,2,6.0,5.0
0,0,131,3,57.0,6.0
0,0,132,0,6.0,3.0
0,0,133,1,10.0,6.0
0,0,134,2,40.0,7.0
0,0,135,3,28.0,7.0
0,0,136,0,14.0,7.0
0,0,137,1,22.0,6.0
0,0,138,2,58.0,7.0
0,0,139,3,18.0,6.0
0,0,140,0,47.0,6.0
0,0,141,1,6.0,5.0
0,0,142,2,36.0,7.0
0,0,143,3,57.0,6.0
0,0,144,0,36.0,5.0
0,0,145,1,24.0,5.0
0,0,146,2,48.0,6.0
0,0,147,3,20.0,8.0
0,0,148,0,5.0,6.0
0,0,149,1,44.0,5.0
0,0,150,2,54.0,7.0
0,0,151,3,18.0,5.0
0,0,152,0,33.0,5.0
0,0,153,1,10.0,5.0
0,0,154,2,28.0,7.0
0,0,155,3,32.0,8.0
0,0,156,0,42.0,6.0
0,0,157,1,56.0,8.0
0,0,158,2,18.0,6.0
0,0,159,3,3.0,5.0
0,0,160,0,4.0,4.0
0,0,161,1,64.0,6.0
0,0,162,2,20.0,6.0
0,0,163,3,24.0,5.0
0,0,164,0,37.0,3.0
0,0,165,1,30.0,8.0
0,0,166,2,34.0,7.0
0,0,167,3,16.0,6.0
0,0,168,0,-2.0,5.0
0,0,169,1,56.0,5.0
0,0,170,2,118.0,6.0
0,0,171,3,47.0,7.0
0,0,172,0,22.0,7.0
0,0,173,1,44.0,7.0
0,0,174,2,56.0,6.0
0,0,175,3,4.0,6.0
0,0,176,0,6.0,5.0
0,0,177,1,12.0,5.0
0,0,178,2,42.0,7.0
0,0,179,3,13.0,7.0
0,0,180,0,64.0,4.0
0,0,181,1,18.0,7.0
0,0,182,2,30.0,6.0
0,0,183,3,7.0,5.0
0,0,184,0,16.0,5.0
0,0,185,1,50.0,8.0
0,0,186,2,4.0,6.0
0,0,187,3,18.0,7.0
0,0,188,0,13.0,3.0
0,0,189,1,42.0,6.0
0,0,190,2,40.0,7.0
0,0,191,3,30.0,5.0
0,0,192,0,22.0,7.0
0,0,193,1,52.0,8.0
0,0,194,2,62.0,6.0
0,0,195,3,21.0,6.0
0,0,196,0,53.0,3.0
0,0,197,1,16.0,6.0
0,0,198,2,64.0,6.0
0,0,199,3,75.0,5.0
1,0,0,0,18.0,5.0
1,0,1,1,6.0,6.0
1,0,2,2,40.0,5.0
1,0,3,3,4.0,5.0
1,0,4,0,109.0,5.0
1,0,5,1,84.0,6.0
1,0,6,2,54.0,6.0
1,0,7,3,65.0,5.0
1,0,8,0,64.0,4.0
1,0,9,1,22.0,5.0
1,0,10,2,16.0,5.0
1,0,11,3,3.0,5.0
1,0,12,0,6.0,6.0
1,0,13,1,76.0,5.0
1,0,14,2,6.0,7.0
1,0,15,3,27.0,5.0
1,0,16,0,15.0,3.0
1,0,17,1,52.0,5.0
1,0,18,2,68.0,5.0
1,0,19,3,34.0,6.0
1,0,20,0,21.0,5.0
1,0,21,1,64.0,7.0
1,0,22,2,12.0,5.0
1,0,23,3,71.0,7.0
1,0,24,0,27.0,6.0
1,0,25,1,16.0,8.0
1,0,26,2,8.0,5.0
1,0,27,3,28.0,6.0
1,0,28,0,6.0,6.0
1,0,29,1,50.0,7.0
1,0,30,2,76.0,5.0
1,0,31,3,33.0,8.0
1,0,32,0,44.0,5.0
1,0,33,1,30.0,6.0
1,0,34,2,36.0,7.0
1,0,35,3,38.0,5.0
1,0,36,0,113.0,4.0
1,0,37,1,52.0,8.0
1,0,38,2,26.0,6.0
1,0,39,3,10.0,6.0
1,0,40,0,14.0,5.0
1,0,41,1,46.0,9.0
1,0,42,2,34.0,6.0
1,0,43,3,16.0,5.0
1,0,44,0,30.0,6.0
1,0,45,1,60.0,7.0
1,0,46,2,114.0,6.0
1,0,47,3,65.0,8.0
1,0,48,0,64.0,4.0
1,0,49,1,28.0,7.0
1,0,50,2,30.0,7.0
1,0,51,3,43.0,6.0
1,0,52,0,121.0,5.0
1,0,53,1,144.0,9.0
1,0,54,2,68.0,7.0
1,0,55,3,24.0,6.0
1,0,56,0,52.0,6.0
1,0,57,1,22.0,7.0
1,0,58,2,22.0,7.0
1,0,59,3,36.0,5.0
1,0,60,0,35.0,6.0
1,0,61,1,44.0,7.0
1,0,62,2,30.0,6.0
1,0,63,3,49.0,8.0
1,0,64,0,63.0,5.0
1,0,65,1,20.0,8.0
1,0,66,2,20.0,5.0
1,0,67,3,205.0,5.0
1,0,68,0,3.0,6.0
1,0,69,1,20.0,8.0
1,0,70,2,108.0,6.0
1,0,71,3,67.0,5.0
1,0,72,0,88.0,6.0
1,0,73,1,34.0,7.0
1,0,74,2,8.0,7.0
1,0,75,3,39.0,6.0
1,0,76,0,5.0,5.0
1,0,77,1,28.0,5.0
1,0,78,2,104.0,7.0
1,0,79,3,40.0,5.0
1,0,80,0,4.0,4.0
1,0,81,1,16.0,5.0
1,0,82,2,30.0,6.0
1,0,83,3,32.0,7.0
1,0,84,0,0.0,5.0
1,0,85,1,8.0,6.0
1,0,86,2,40.0,7.0
1,0,87,3,31.0,6.0
1,0,88,0,11.0,4.0
1,0,89,1,22.0,5.0
1,0,90,2,98.0,6.0
1,0,91,3,34.0,6.0
1,0,92,0,0.0,5.0
1,0,93,1,58.0,7.0
1,0,94,2,118.0,5.0
1,0,95,3,61.0,5.0
1,0,96,0,55.0,5.0
1,0,97,1,36.0,8.0
1,0,98,2,14.0,7.0
1,0,99,3,58.0,7.0
1,0,100,0,16.0,5.0
1,0,101,1,36.0,6.0
1,0,102,2,38.0,7.0
1,0,103,3,63.0,6.0
1,0,104,0,8.0,4.0
1,0,105,1,30.0,8.0
1,0,106,2,20.0,7.0
1,0,107,3,22.0,7.0
1,0,108,0,14.0,6.0
