subject,block,trial,algo,task,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,transition_change,max_value_diff,possible_correct,mean_block_regret,mean_block_correct
99,2,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,5,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,5,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,5,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,7,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,7,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,7,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,2.93,0.36
99,2,8,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
99,2,8,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,2.93,0.36
