subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,0,21,21,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,21,21,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,22,22,0,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,22,22,0,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,23,23,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,23,23,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,24,24,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,24,24,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,25,25,1,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,25,25,1,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,26,26,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,26,26,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,27,27,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,27,27,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
